Index,Name
1,"Ministry of Housing and Urban-Rural Development, GB/T51366-2019 Calculation Standard for Carbon Emission of Buildings (in Chinese). 2019: Beijing, China."
2,"National Development and Reform Commission, Greenhouse Gas Inventory research in China (in Chinese). 2007: Beijing, China."
3,"Department of Climate Change, Ministry of Ecology and Environment, Guidelines for Compiling Provincial Greenhouse Gas Inventories (in Chinese). 2011, Beijing, China."
4,"China City Greenhouse Gas Working Group, China Products Carbon Footprint Factors Database (in Chinese). 2022."
5,"Ou, X., et al., Energy consumption and GHG emissions of six biofuel pathways by LCA in China. Applied Energy, 2009. 86(SUPPL. 1): p. S197-S208."
6,"Gao, C.K., et al., Environmental impact analysis of power generation from biomass and wind farms in different locations. Renewable and Sustainable Energy Reviews, 2019. 102: p. 307-317."
7,"Wang, Y., et al., Temporal variation in carbon footprint of crop residue for biogas utilization in China from 1995 to 2014 (in Chinese). Journal of China Agricultural University, 2017. 22(05):1-14."
8,"Wang, L., et al., A comparative life-cycle assessment of hydro-, nuclear and wind power: A China study. Applied Energy, 2019. 249: p. 37-45."
9,"Li, Q., et al., Life cycle assessment and life cycle cost analysis of a 40 MW wind farm with consideration of the infrastructure. Renewable and Sustainable Energy Reviews, 2021. 138."
10,"Zhao, X., et al., The substitution of wind power for coal-fired power to realize China's CO2 emissions reduction targets in 2020 and 2030. Energy, 2017. 120: p. 164-178."
11,"Yang, J., et al., Energy consumption and greenhouse gas emission of an offshore wind farm in China: A hybrid life cycle assessment perspective (in Chinese). Acta Scientiae Circumstantiae, 2017. 37(02):786-792."
12,"Wang, Y., et al., Comparative life cycle assessment of geothermal power generation systems in China. Resources, Conservation and Recycling, 2020. 155."
13,"Jiang, Z., et al., Greenhouse gas emissions from nuclear power chain life cycle in China (in Chinese). China Environmental Science, 2015. 35(11):3502-3510."
14,"Hou, G., et al., Life cycle assessment of grid-connected photovoltaic power generation from crystalline silicon solar modules in China. Applied Energy, 2016. 164: p. 882-890."
15,"Jia, X., et al., Life cycle assessment on PERC solar modules. Solar Energy Materials and Solar Cells, 2021. 227."
16,"He, J., Research on Carbon Emission of Photovoltaic Generation with Life Cycle Assessment (in Chinese). Thesis, Nanjing University of Aeronautics and Astronautics, 2017."
17,"Li, Y., Life Cycle Assessment of Crystalline Silicon Modules in China (in Chinese). Thesis, Shanghai Jiao Tong University, 2015."
18,"Tian, H., et al., Emission inventories of atmospheric pollutants discharged from biomass burning in China (in Chinese). Acta Scientiae Circumstantiae, 2011. 31(02):349-357."
19,"He, P., et al., GHG emissions from Chinese MSW incineration and their influencing factors - Case study of one MSW incineration plant in Shanghai (in Chinese). China Environmental Science, 2011. 31(03):402-407."
20,"Jiao, S., et al., Development and Research on Highway Engineering Carbon Accounting System Based on Visual Basic 6.0 (in Chinese). Highway, 2013(3): P. 187-191."
21,"Wu, S. and Xie, Y., Brief Discussion on Carbon Emission Calculation of Prefabricated Building Structure at Materialization Stage (in Chinese). Building Construction, 2013. 35(001): P. 85-87."
22,"Cui, P., The establishment of a life-cycle carbon emission factor database for buildings and research (in Chinese). Thesis, Southeast University, 2015."
23,"Li, P., et al., Carbon Footprint Calculation and Analysis of Accommodation Services in Four-star Hotels of Kunming (in Chinese). Tourism Tribune, 2010. 25(3): 27-34."
24,"GOV.UK. Greenhouse gas reporting: conversion factors 2021, 2021. Link."
25,"Yu, H., et al., Service life Period-Based Carbon Emission Computing Model for Ready-Mix Concrete (in Chinese). Coal Ash, 2011. 23(006): p. 42-46."
26,"Liu, L., et al., Green concrete carbon emissions based on LCA evaluation system (in Chinese). Concrete, 2021(12): p. 102-107."
27,"Peng, C., Study on compressive properties and carbon emission of modified recycled concrete with crumb rubber (in Chinese). Thesis, Guangdong University of Technology, 2020."
28,"Xiao, Y., et al., Carbon Emission Analysis of Green Concrete (in Chinese). Building Construction, 2019. 41(02): p. 312-317."
29,"Fan, J. and Yu, L., Calculation and Analysis of Carbon Emission from Recycled Concrete (in Chinese). Coal Ash, 2016. 28(04): p. 32-34."
30,"Hou, G., et al., Research on C3S2 low-carbon efficient cement (in Chinese). Jiangsu Building Materials, 2021(04): p. 16-19."
31,"Chen, C. and Li, S., Calcium carbide waste residue produces green low-carbon cement (in Chinese). Shihezi Technology, 2013(03): p. 25-28."
32,"Xu Z. et al., Carbon emission assessment in the process of production of sulfuric acid integrated with cement from phosphogypsum (in Chinese). Phosphate ＆ Compound Fertilizer, 2022. 37(02):46-48."
33,"Zhang, Q. and Xu, Y., Aluminum sulfate cement: An important area for the development of low-carbon cement concrete (in Chinese). China Concrete, 2010(09): p. 32-35."
34,"Fu, L., Application prospect of new low-carbon cement LC3 (Part 2) (in Chinese). China Cement, 2020(10): p. 91-93."
35,"Yang, N., A preliminary study on low-carbon cement composed of C2S as the main mineral. Cement technology (in Chinese), 2010(04): p. 20-25."
36,"Qiu, M., et al., Preparation of Self-pulverized Low-Carbon Cement by Industrial Raw Materials (in Chinese). Bulletin of the Chinese Ceramic Society, 2016. 35(12): p. 3948-3951+3963."
37,"Dong, K., Study on the Building Carbon Dioxide Emissions based on Reinforced Concrete Structures (in Chinese). Thesis, Qingdao University of Technology, 2011."
38,"Huang, Z., Life Cycle Evaluation Model and Case Study of Building Energy System (in Chinese). Thesis, Tongji University, 2003."
39,"Wang, Z., et al., Analysis on Carbon Emission for Inorganic Composite Sintered Shale Hollow Brick based on Life Cycle Assessment (in Chinese). New Building Materials, 2013. 40(012): p. 34-37."
40,"Li, Q. and Liu, J., Analysis of energy consumption and carbon emissions of aerated concrete blocks and sintered shale hollow bricks throughout their life cycle (in Chinese). Journal of Chongqing College of Electronic Engineering, 2015. 24(04): p. 148-151."
41,"Gao, C. et al., A review of carbon emission accounting methods and carbon emission factors in the production stage of steel (in Chinese). Contemporary Economic Management, 2021. 43(08): p. 33-38."
42,"Gou, L., et al., Research on the Quantitative Method of Carbon Emission Based on the Offset of Carbon Emission—a Case Study of Steel Production (in Chinese). China Environmental Management, 2016. 8(06): p. 99-103."
43,"Zeng, G., et al., Energy Consumption and Carbon Emission Scenarios in Pyrometallurgical Copper Production: Life Cycle Perspective (in Chinese). China Population, Resources and Environment, 2012."
44,"Chen, X. et al., Carbon Dioxide Emissions from Electrolytic Aluminum Industry (in Chinese). Light Metals, 2012(07): P.33-36."
45,"Zhang, Y., et al., Environmental footprint of aluminum production in China. Journal of Cleaner Production, 2016. 133: p. 1242-1251."
46,Southeast University. Donghe Building Carbon Emission Calculation and Analysis Software (in Chinese). 2022.
47,"Zhao, R., et al., Research on carbon emissions of urban water systems based on ""water-energy-carbon"" association (in Chinese). Acta Geographica Sinica, 2021. 76(12): p. 3119-3134."
48,"Li, L., et al., Calculation and Evaluation of Comprehensive Energy Consumption and Carbon Emission of Revetment Engineering Materials (in Chinese). Yangtze River, 2012. 043(007): p. 50-55."
49,"Ma, Y. and Xin, S., Application of Carbon Footprint Assessment Methodology on PVC (in Chinese). Chlor-alkali Industry, 2011. 47(001): p.1-6."
50,"Tian, H., Research on the Sustainable Development of Flat Glass Industry from the Perspective of Low Carbon Economy (in Chinese). Thesis, Tianjin University of Technology, 2011."
51,"Li, J. et al., Flat glass low-carbon product certification points and application examples (in Chinese). Quality & Certification, 2018(02): p. 66-67."
52,"Peng, J., et al., Modeling of Carbon Dioxide Measurement and Optimization on Building Ceramic Industry (in Chinese). Environmental Science, 2012. 33(002): p. 665-672."
53,"Wang, Y., et al., Research on Carbon Emission and Reduction Potential of Building Ceramics in China (in Chinese). Materials Report, 2018. 32(22): p. 3967-3972."
54,"Yu, H, and Ceng, J., Carbon emission on Building Ceramics Life Cycle Process (in Chinese). Sichuan Building Materials, 2016. 42(02): p. 130-131+133."
55,"Wang X., Life Cycle Assessment for Carbon Emission of Residential Building (in Chinese). Thesis, Tianjin University, 2012."
56,"Zhang, L. et al., Carbon emission reduction benefit analysis of the technical process of a typical construction waste recycling project in Hangzhou (in Chinese). Environmental Pollution and Prevention, 2022. 44(04): p. 506-509+514."
57,"Qiu, J. and Ding, S., Analysis of carbon emission reduction potential of construction waste resource utilization (in Chinese). New industrialization, 2022. 12(03): p. 95-98+105."
58,"Guangdong Provincial Department of Housing and Urban-rural Development, Guidelines for Calculation of Building Carbon Emission (in Chinese). 2021."
